Choix 1 TD (nom groupe)	Choix 1 TD (id groupe)	Choix 2 TD (nom groupe)	Choix 2 TD (id groupe)	Choix 3 TD (nom groupe)	Choix 3 TD (id groupe)	Choix 4 TD (nom groupe)	Choix 4 TD (id groupe)	Affectation	ch1 no aff	hash
Me15301	522	Me18001	825	Ma18001	515	Je18001	531	522		-0,941752026838964
Ma08151	508	Ma18001	515	Me15301	522	Lu15301	505	508		-0,766700042811263
Je10301	526	Ma18001	515	Je13001	528	Lu08151	502	515		-0,731580200594165
Ma18001	515	Je18001	531	Me13001	520	Ve10301	533	515		-0,833018405253146
Je13001	528	Lu15301	505	Je18001	531	Ma18001	515	531		0,477629080072163
Ma18001	515	Me15301	522	Me18001	825	Lu10301	503	515		-0,195763336200849
Me10301	518	Lu15301	505	Lu18001	507	Ma18001	515	515		-0,932545079558702
Me13001	520	Me10301	518	Ma18001	515	Je15301	529	515		0,789075084568313
Je08151	524	Me08151	516	Lu18001	507	Ma18001	515	524		0,377335210456496
Je13001	528	Je08151	524	Ma18001	515	Lu18001	507	524		-0,251768764020349
Ma15301	514	Ma18001	515	Je18001	531	Me18001	825	515		-0,890788875400306
Ma18001	515	Me18001	825	Ma10301	510	Me08151	516	515		0,997330597276968
Me15301	522	Ma08151	508	Ma18001	515	Je08151	524	522		0,348838336599336
Ma13001	512	Ma15301	514	Ma18001	515	Lu13001	504	515		-0,994595169176747
Me15301	522	Me13001	520	Ma18001	515	Lu18001	507	522		0,985524029016798
Je10301	526	Ma18001	515	Je18001	531	Je08151	524	515		0,600399276193355
Lu13001	504	Ma18001	515	Je13001	528	Je15301	529	504		0,981482756824825
Me15301	522	Je15301	529	Me18001	825	Ma18001	515	522		0,310982178746932
Me15301	522	Ma13001	512	Ma18001	515	Me18001	825	522		0,979899452976022
Ma10301	510	Je08151	524	Ma18001	515	Me18001	825	524		-0,130276448486379
Me13001	520	Me15301	522	Ma18001	515	Je18001	531	531		-0,815410772349095
Ma18001	515	Me08151	516	Ma08151	508	Me18001	825	515		0,896884352293178
Me15301	522	Ma10301	510	Ma18001	515	Je15301	529	522		0,998483529806047
Ma10301	510	Ma18001	515	Lu13001	504	Je10301	526	515		-0,385684299542176
Ma13001	512	Ma10301	510	Ma15301	514	Ma18001	515	515		-0,18256494527312
Ma18001	515	Je10301	526	Je08151	524	Je13001	528	515		-0,173628601501216
Ma18001	515	Je10301	526	Je08151	524	Je13001	528	515		-0,585880276639035
Lu15301	505	Lu13001	504	Lu18001	507	Ma18001	515	505		0,221672952863927
Lu15301	505	Me15301	522	Lu18001	507	Ma18001	515	505		0,870138992332504
Lu18001	507	Ma08151	508	Ma18001	515	Ma15301	514	507		-0,996275647637418
Ma15301	514	Lu18001	507	Me10301	518	Ma18001	515	514		0,993148178179532
Je10301	526	Ma15301	514	Ma18001	515	Lu18001	507	515		-0,976086025683249
Me15301	522	Me18001	825	Ma18001	515	Je18001	531	522		0,89892637290521
Ma13001	512	Ma15301	514	Ma18001	515	Ve08151	532	515		-0,221624904782346
Ma10301	510	Ma18001	515	Me18001	825	Lu18001	507	515		-0,830543680390087
Ma15301	514	Me13001	520	Me10301	518	Ma18001	515	514		0,033034959390093
Me18001	825	Lu15301	505	Me08151	516	Ma18001	515	825		-0,454080156726691
Ma13001	512	Ma15301	514	Ma18001	515	Je08151	524	515		-0,538144329944476
Ma10301	510	Me10301	518	Ma18001	515	Me08151	516	515		-0,999877967533274
Je13001	528	Je15301	529	Me18001	825	Ma18001	515	529		0,684788783246125
Me13001	520	Me08151	516	Ma18001	515	Ma13001	512	515		-0,898913166263631
Je18001	531	Lu13001	504	Ma15301	514	Ma18001	515	531		-0,804999898609639
Je10301	526	Ma13001	512	Ma18001	515	Ve08151	532	515		0,874344535928652
Je13001	528	Ma18001	515	Je18001	531	Me13001	520	515		0,852127613021317
Lu10301	503	Je15301	529	Ma18001	515	Je18001	531	503		0,229914006397027
Je13001	528	Ma18001	515	Je18001	531	Ma15301	514	515		0,556867323126739
Ma18001	515	Je13001	528	Je10301	526	Me18001	825	515		-0,130156897722008
Ma18001	515	Ma10301	510	Je10301	526	Je08151	524	515		0,851969818641815
Ma08151	508	Ma15301	514	Ma18001	515	Ma13001	512	508		-0,094798092346418
Me18001	825	Ma18001	515	Ma13001	512	Me13001	520	825		-0,964407289258317
Ma13001	512	Ma15301	514	Ma18001	515	Je18001	531	531		-0,847430034382698
Lu15301	505	Ma08151	508	Ve08151	532	Ma18001	515	505		-0,264132710936498
Ma15301	514	Lu18001	507	Ma18001	515	Me18001	825	515		-0,365121063150746
